Date,Start,End,Description,Location,Alarms,Type
10/30/2025,4:15 PM,5:30 PM,HHS Baseball - Pitchers Day 4,HHS,,
10/31/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
11/3/2025,3:15 PM,5:30 PM,HHS Baseball - Lift - Pitchers Day 1,HHS,,
11/4/2025,2:30 PM,5:30 PM,HHS Baseball - Lift - Pitchers Day 2,HHS,,
11/5/2025,2:30 PM,5:30 PM,HHS Baseball - Practice - Pitchers Day 3,HHS,,
11/6/2025,3:15 PM,5:30 PM,HHS Baseball - Lift - Pitchers Day 4,HHS,,
11/7/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
11/10/2025,3:15 PM,5:30 PM,HHS Baseball - Lift - Pitchers OFF,HHS,,
11/11/2025,2:30 PM,5:30 PM,HHS Baseball - Lift - Live ABs,HHS,,
11/12/2025,2:30 PM,5:30 PM,HHS Baseball - Live ABs,HHS,,
11/13/2025,3:15 PM,5:30 PM,HHS Baseball - Lift - Live ABs,HHS,,
11/14/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
11/17/2025,3:15 PM,5:30 PM,HHS Baseball - Lift - Live ABs,HHS,,
11/18/2025,2:30 PM,5:30 PM,HHS Baseball - Lift - Live ABs,HHS,,
11/19/2025,2:30 PM,5:30 PM,HHS Baseball - Live ABs,HHS,,
11/20/2025,3:15 PM,5:30 PM,HHS Baseball - Lift - Live ABs,HHS,,
11/21/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
12/1/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS,,
12/2/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
12/4/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS,,
12/5/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
12/8/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS,,
12/9/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
12/11/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS,,
12/12/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
12/15/2025,3:15 PM,4:30 PM,HHS Baseball - Lift,HHS,,
12/16/2025,2:30 PM,3:45 PM,HHS Baseball - Lift,HHS,,
12/16/2025,6:00 PM,8:00 PM,HHS Baseball - *Tiger Liftathon*,HHS,,
